Category,LIFE,Exo
"['Cold Sub-Jovian', 'G']","[84.74211829795011, 49.60790107768665, 0.6, 0.8, 6]","[27.405294023209354, 40.46362796712763, 1.9, 1.14, 19]"
"['Cold Sub-Jovian', 'K']","[45.098668092774524, 22.645042503749988, 0.7, 0.64, 7]","[40.83766947468499, 24.896168654868383, 3.7, 2.19, 37]"
"['Cold Sub-Jovian', 'M']","[40.50591359644784, 37.6055343742661, 1.6, 1.11, 16]","[52.37219872906685, 21.03199144202327, 0.8, 0.87, 8]"
"['Hot Jovian', 'F']","[78.84267736383995, 50.6961569367473, 2.6, 1.2, 26]","[0.37610630784002375, nan, 0.1, 0.3, 1]"
"['Hot Jovian', 'G']","[106.43300527950663, 75.36192766198425, 3.2, 1.99, 32]","[1.2096887282569266, nan, 0.1, 0.3, 1]"
"['Hot Jovian', 'K']","[77.72598046176557, 52.83180441150872, 6.2, 1.6, 62]","[0.0211815336813585, nan, 0.1, 0.3, 1]"
"['Hot Jovian', 'M']","[37.61802274095777, 44.230922874062784, 6.4, 2.94, 64]","[0, 0, 0.0, 0.0, 0]"
"['Warm Jovian', 'F']","[55.72985683033369, 34.89406037767075, 0.8, 0.87, 8]","[3.274813263828026, nan, 0.1, 0.3, 1]"
"['Warm Jovian', 'G']","[54.52706321354766, 38.014672178077134, 0.8, 1.17, 8]","[104.20332379216987, 303.45511019822203, 1.0, 0.89, 10]"
"['Warm Jovian', 'K']","[67.66202270691872, 44.68157997824873, 2.9, 1.7, 29]","[959.8491913316128, 2299.5717667484573, 0.6, 0.66, 6]"
"['Warm Jovian', 'M']","[39.812046392989124, 68.45102525439022, 2.1, 2.43, 21]","[21.139933472896878, nan, 0.1, 0.3, 1]"
"['Cold Jovian', 'F']","[73.42962960647615, 27.96622785527477, 0.4, 0.66, 4]","[38.25367239663592, 25.520518321344042, 0.4, 0.49, 4]"
"['Cold Jovian', 'G']","[44.02057492530377, 37.82077412290627, 1.2, 0.98, 12]","[27.394751322293736, 99.88668765691673, 3.2, 1.99, 32]"
"['Cold Jovian', 'K']","[69.95634057359467, 50.553421293316646, 3.8, 1.33, 38]","[171.90590754166527, 889.2869583829706, 4.0, 2.24, 40]"
"['Cold Jovian', 'M']","[47.525725557997525, 49.640127382769414, 4.8, 1.78, 48]","[62.609267919633375, 17.631501621222135, 0.7, 0.78, 7]"
