,a,e,I,O,w,M0,Mp,mu,Rp,p,plan2star,star,WA,starnEZ,d
3698,1.9371779354029193,0.1208853863926416,117.17759528581108,24.215775027884995,189.09692941951502,54.25259321394958,4.167022066092923,1.159572228186242e+20,2.183573820793466,0.8252534427419735,1485,HIP 114379,0.03903766283098412,1.0503055,1.8210358329624572
3699,2.9550077784279103,0.11557536144881629,87.04963950925392,86.35243111557185,110.96663875746295,85.59266279032289,19.1932309790069,1.5433936737621292e+20,2.864510380134602,0.7869961421846564,1374,HIP 105858,0.27829013746559456,5.745778,2.968176106822841
3700,7.565001821802809,0.2891938296756422,77.47372288505234,69.94875873721315,278.6362908667417,94.95200166255404,2.806236125175145,2.0474826812072083e+20,1.2731987172910892,0.8307668762475586,1233,HIP 94083,0.22389072879240082,3.4830682,8.330268041604464
3701,1.0042238304988544,0.22420689829597504,12.41360916790217,300.0033588031844,233.60972762064893,123.69157248480028,10.517361361359777,1.0475167552003773e+20,1.643422971561817,0.8174496743439638,118,HIP 8275,0.04813008740864341,5.456501,1.1579942078009535
3702,0.2765140407100542,0.057652422063233094,71.76927320224232,242.04829812996212,75.0980723806508,21.55028065323279,0.6239435658535114,6.81018441995445e+19,1.2448364104196605,0.548407870435265,80,HIP 5496,0.011128069333201708,5.782496,0.26182142797112745
3703,1.9595687601952054,0.1606366119673473,66.67871450932016,73.4305566851377,181.64310745476322,45.27148231480635,4.527085446545235,1.2014578392653526e+20,1.8482749340673625,0.8677049577359839,1458,HIP 112763,0.03690475164963217,8.657291,1.7682982622479593
3704,3.335133037630955,0.14258268046783457,53.409572805237396,339.24353834466376,234.85241850138001,343.4920906440538,5.552985320613089,1.1805101056044271e+20,1.5047255447826529,0.6015115220807549,183,HIP 12926,0.10032194901236888,1.0335768,2.8860344625975594
3705,4.13051369654385,0.08828078587280408,88.49553431516219,243.76713444465153,354.1056427487709,9.624388135254947,21.04523268332757,1.5837125416336346e+20,4.426189517962964,0.8060376212189484,173,HIP 12444,0.17251260095841334,547.06537,3.77203347513676
3706,6.017133492589085,0.1622841399113797,144.92715278983593,22.790564795633884,18.43743086759976,265.4645850050647,5.4827198966604165,1.1494303399647337e+20,1.8559756379478765,0.37311270918327755,421,HIP 30893,0.17227838015454883,6.592125,6.246313854093792
3707,0.4581999415347205,0.23584271461211884,91.71111109850611,285.59657053766216,357.29788454134155,99.36048801533974,7.98946134583875,1.5463490025538395e+20,2.61217796189645,0.22193007003049345,327,HIP 23852,0.009377590255538476,274.18668,0.49850318298325225
3708,1.4780715198149583,0.35088842319763525,77.441750650237,20.782396932008957,5.18385129678129,313.0457488943771,42.473434626252555,1.2153243114724168e+20,3.5267753545845566,0.7882301937404442,523,HIP 38625 A,0.01716297106170655,27.607391,1.2605719370412707
3709,6.483738520205311,0.10826843743773146,64.56347705885928,176.89611069503695,156.50718512356372,318.0642435731057,539.8482647859997,1.4296966817257798e+20,13.065614229724163,0.19133545654038525,306,HIP 22349,0.09910497403356783,4.332735,5.999905290133647
3710,18.705511281060744,0.05037850654113757,112.1164216856511,358.15597106757104,238.65966460697896,69.16471935257664,2.8359119768051184,1.6218849071267332e+20,1.0754329709910804,0.3600495968384927,1532,HIP 117880,0.4911513669343711,5.0005145,18.41287634544269
3711,1.1683249526535238,0.05142043791437053,164.82087657456248,333.47642821356027,50.901908391377006,303.11031924317933,4.62379735060752,1.3197564884950701e+20,2.0705932837068923,0.43533482169581394,94,HIP 6405,0.04406057193700592,3.40273,1.1377675986237692
3712,7.153242918155252,0.14916545122896807,126.26189222074274,63.75470397572236,336.0978421693141,237.10074718577633,8.84097920105984,1.2425532501917814e+20,2.6501387043443323,0.1796683413019155,350,HIP 25544,0.39165652687273217,0.45518133,7.831870012560596
3713,0.8444273949825878,0.12988141754776775,25.52149925652614,193.2912648334079,128.82505865606737,22.463254904412167,8.025416949792858,1.2275535523119328e+20,2.444648497826495,0.33697270899824194,195,HIP 13769 C,0.028212376680807803,10.98872,0.7455923615269122
3714,1.8742900880305748,0.09881592712555047,55.80345307623945,21.69296984593986,325.79262628184,17.79620690708174,7.049111335042384,8.98517644814353e+19,1.6851264630966536,0.23934705179494195,409,HIP 29810,0.07493218227102168,8.951082,1.6999263077691495
3715,1.2371325486525975,0.062180684945048005,153.5598796611063,97.92441659118614,306.57334615656646,302.39185163808986,8.21822010494795,7.811088001224858e+19,1.618877066238984,0.39662931889084335,1410,HIP 108782,0.10757981233114311,4.5424004,1.199504626367845
3716,0.43504929427005606,0.10660072822031806,126.15168346719427,353.8637549552748,315.8428636648737,40.168491072383745,4.8967088270450425,1.3073389471009486e+20,2.1274104794101127,0.19510018008073848,10,HIP 544,0.029337417894439794,14.118004,0.40194018044494584
3717,5.91306435976266,0.06416694077728813,36.400065673573856,255.4211922022652,71.19397144325258,315.38512024758694,1.280838804363637,1.2526766908295902e+20,1.3064090689375523,0.2437554125974769,996,HIP 76375,0.24687843225529074,5.093046,5.655840252422808
3718,2.2723549980021347,0.050131955721162004,110.48170773322276,138.01025520889354,327.31316177619027,21.165469155296876,2.6917601382285983,1.906855261817577e+20,1.506305275702384,0.4239910699009628,945,HIP 72603,0.09320467645960669,2.9127936,2.166922076945131
3719,1.767041390494775,0.2261114539881833,110.31516800823991,271.29720814104587,55.99320554742148,273.51999753722,0.6858491285431728,1.830529473894079e+20,1.0762649833597493,0.27365271313040207,14,HIP 910,0.06149470178362211,528.6208,1.8313771747326195
3720,4.940970564282283,0.014880109677741993,70.93335800513555,1.5280474956485524,299.3224194159802,143.11473380718303,2.740795944090448,9.149434749569424e+19,2.0910413747882846,0.3703739944221974,221,HIP 15673,0.07363722485916198,0.5684202,5.000163658831739
3721,2.2624754321427942,0.11321584799737963,60.56773000417116,291.3304221519957,203.79190923805675,183.8562822413766,0.4222763431910041,1.0718888708786704e+20,1.1784224678895279,0.6023056721544231,980,HIP 75253,0.1046879423363032,4.4369574,2.5181554309511975
3722,1.5181288495776448,0.1311251657061023,61.08024650717028,54.09386762426469,314.3878220497072,107.69639355157463,3.5484196779353643,1.384464017362905e+20,2.200411052218259,0.5069142977855898,557,HIP 41484,0.03815676961984458,1.4728274,1.6007782270318578
