Category,LIFE,Exo
"[True, 'F']","[94.12219741439202, 59.633775779940734, 3.3, 1.49, 33]","[0.5360017947999466, 0.4251184105283653, 0.6, 1.02, 6]"
"[True, 'G']","[82.35201810874203, 66.35902391072773, 5.5, 1.12, 55]","[190.51878722906628, 851.8081481231469, 8.3, 3.29, 83]"
"[True, 'K']","[71.81519530274659, 55.47815298285102, 11.5, 3.56, 115]","[154.3344499306188, 680.5268083638293, 9.8, 2.6, 98]"
"[True, 'M']","[59.08886773529783, 70.87571824755696, 13.4, 1.8, 134]","[30.34717141628908, 11.820555889807578, 0.5, 0.5, 5]"
"[False, 'F']","[81.32334681165223, 48.847694385906465, 20.4, 4.41, 204]","[9.810781492291554, 20.360676190032432, 2.5, 2.2, 25]"
"[False, 'G']","[79.88266906127578, 61.5451364942432, 30.6, 6.7, 306]","[107.86208681734394, 601.6670751589618, 17.4, 7.55, 174]"
"[False, 'K']","[68.53802218402669, 47.951055459082525, 75.8, 9.38, 758]","[248.01137816690357, 1366.3888181537498, 23.1, 6.01, 231]"
"[False, 'M']","[49.3086051962825, 58.83661133414646, 87.9, 8.3, 879]","[57.94692140365651, 25.257251709741475, 6.5, 4.34, 65]"
