Category,LIFE,Exo
"['Cold Sub-Jovian', 'F']","[66.35504156253369, nan, 0.1, 0.3, 1]","[2.6119785199600987, 2.80634701731115, 0.2, 0.6, 2]"
"['Cold Sub-Jovian', 'G']","[84.74211829795011, 49.60790107768665, 0.6, 0.8, 6]","[248.27070730457686, 899.5096472390806, 1.5, 1.5, 15]"
"['Cold Sub-Jovian', 'K']","[45.098668092774524, 22.645042503749988, 0.7, 0.64, 7]","[445.72690534799904, 2090.5606500658346, 2.5, 1.2, 25]"
"['Cold Sub-Jovian', 'M']","[40.50591359644784, 37.6055343742661, 1.6, 1.11, 16]","[62.06322309671561, 35.455866314281145, 0.9, 0.83, 9]"
"['Hot Jovian', 'F']","[78.84267736383995, 50.6961569367473, 2.6, 1.2, 26]","[0, 0, 0.0, 0.0, 0]"
"['Hot Jovian', 'G']","[106.43300527950663, 75.36192766198425, 3.2, 1.99, 32]","[0.12450427613109435, nan, 0.1, 0.3, 1]"
"['Hot Jovian', 'K']","[77.72598046176557, 52.83180441150872, 6.2, 1.6, 62]","[0.8774045564145062, 1.0055500779147586, 0.3, 0.64, 3]"
"['Hot Jovian', 'M']","[37.61802274095777, 44.230922874062784, 6.4, 2.94, 64]","[0, 0, 0.0, 0.0, 0]"
"['Warm Jovian', 'F']","[55.72985683033369, 34.89406037767075, 0.8, 0.87, 8]","[0.4742967788315501, 0.4313088930015294, 0.4, 0.49, 4]"
"['Warm Jovian', 'G']","[54.52706321354766, 38.014672178077134, 0.8, 1.17, 8]","[2.4836336533882295, 4.798380714650284, 0.6, 0.8, 6]"
"['Warm Jovian', 'K']","[67.66202270691872, 44.68157997824873, 2.9, 1.7, 29]","[24.93706784868652, 36.506297598795086, 0.8, 1.08, 8]"
"['Warm Jovian', 'M']","[39.812046392989124, 68.45102525439022, 2.1, 2.43, 21]","[0, 0, 0.0, 0.0, 0]"
"['Cold Jovian', 'F']","[73.42962960647615, 27.96622785527477, 0.4, 0.66, 4]","[1.089340683601099, 1.2641273705231308, 0.5, 0.5, 5]"
"['Cold Jovian', 'G']","[44.02057492530377, 37.82077412290627, 1.2, 0.98, 12]","[11.172415212604289, 12.614413662900077, 3.6, 2.62, 36]"
"['Cold Jovian', 'K']","[69.95634057359467, 50.553421293316646, 3.8, 1.33, 38]","[45.422689001098355, 38.37689537950803, 4.4, 2.73, 44]"
"['Cold Jovian', 'M']","[47.525725557997525, 49.640127382769414, 4.8, 1.78, 48]","[75.72917621724315, 31.62997046020338, 1.1, 1.3, 11]"
